,Trial-ID,Status,Iteration,batch_size,conv1,conv2,h1,h2,kernel1,kernel2,lr,Objective
181,91,COMPLETED,1,1024.0,9.0,5.0,50.0,22.0,3.0,6.0,0.02463444890638224,0.06274151796785041
182,92,INTERMEDIATE,1,2048.0,3.0,8.0,22.0,18.0,4.0,4.0,0.04486571533050833,0.08055996496517524
183,92,COMPLETED,1,2048.0,3.0,8.0,22.0,18.0,4.0,4.0,0.04486571533050833,0.08055996496517524
184,93,INTERMEDIATE,1,2048.0,6.0,1.0,34.0,19.0,2.0,2.0,0.03928473112066877,0.06137460999153751
185,93,COMPLETED,1,2048.0,6.0,1.0,34.0,19.0,2.0,2.0,0.03928473112066877,0.06137460999153751
186,94,INTERMEDIATE,1,512.0,4.0,6.0,47.0,18.0,5.0,2.0,0.01790438942063871,0.06996557046285079
187,94,COMPLETED,1,512.0,4.0,6.0,47.0,18.0,5.0,2.0,0.01790438942063871,0.06996557046285079
188,95,INTERMEDIATE,1,1024.0,4.0,7.0,52.0,41.0,3.0,2.0,0.0433337169800673,0.06312407060066047
189,95,COMPLETED,1,1024.0,4.0,7.0,52.0,41.0,3.0,2.0,0.0433337169800673,0.06312407060066047
190,96,INTERMEDIATE,1,2048.0,8.0,5.0,31.0,63.0,3.0,5.0,0.006026576680261831,0.06421695713873378
191,96,COMPLETED,1,2048.0,8.0,5.0,31.0,63.0,3.0,5.0,0.006026576680261831,0.06421695713873378
192,97,INTERMEDIATE,1,1024.0,8.0,7.0,45.0,2.0,6.0,6.0,0.02440999168093004,0.07688521952647114
193,97,COMPLETED,1,1024.0,8.0,7.0,45.0,2.0,6.0,6.0,0.02440999168093004,0.07688521952647114
194,98,INTERMEDIATE,1,1024.0,3.0,7.0,51.0,41.0,4.0,2.0,0.02354063995355234,0.07202353237885964
195,98,COMPLETED,1,1024.0,3.0,7.0,51.0,41.0,4.0,2.0,0.02354063995355234,0.07202353237885964
196,99,INTERMEDIATE,1,1024.0,2.0,9.0,45.0,32.0,6.0,6.0,0.01652521862086268,0.057854172986312784
197,99,COMPLETED,1,1024.0,2.0,9.0,45.0,32.0,6.0,6.0,0.01652521862086268,0.057854172986312784
198,100,INTERMEDIATE,1,512.0,5.0,7.0,23.0,41.0,3.0,7.0,0.005771536816709145,0.06427283594059485
199,100,COMPLETED,1,512.0,5.0,7.0,23.0,41.0,3.0,7.0,0.005771536816709145,0.06427283594059485
