,Trial-ID,Status,Iteration,hidden1,hidden2,hidden_pm,hidden_tooth,hidden_winding,hidden_yoke,input_rec,lr,output_rec,window,Objective
405,203,COMPLETED,1,46.0,15.0,7.0,11.0,6.0,9.0,0.0,0.001,0.0,6.0,239.18582493811846
406,204,INTERMEDIATE,1,17.0,35.0,5.0,9.0,6.0,8.0,0.0,0.001,0.0,6.0,418.84221411310136
407,204,COMPLETED,1,17.0,35.0,5.0,9.0,6.0,8.0,0.0,0.001,0.0,6.0,418.84221411310136
408,205,INTERMEDIATE,1,19.0,34.0,4.0,10.0,10.0,7.0,1.0,0.001,0.0,2.0,241.02409134805202
409,205,COMPLETED,1,19.0,34.0,4.0,10.0,10.0,7.0,1.0,0.001,0.0,2.0,241.02409134805202
410,206,INTERMEDIATE,1,21.0,38.0,9.0,8.0,10.0,6.0,0.0,0.001,0.0,7.0,253.80176325142384
411,206,COMPLETED,1,21.0,38.0,9.0,8.0,10.0,6.0,0.0,0.001,0.0,7.0,253.80176325142384
412,207,INTERMEDIATE,1,35.0,38.0,5.0,15.0,17.0,6.0,1.0,0.001,1.0,4.0,168.21723445132375
413,207,COMPLETED,1,35.0,38.0,5.0,15.0,17.0,6.0,1.0,0.001,1.0,4.0,168.21723445132375
414,208,INTERMEDIATE,1,19.0,33.0,6.0,9.0,12.0,5.0,1.0,0.001,1.0,4.0,276.3739072494209
415,208,COMPLETED,1,19.0,33.0,6.0,9.0,12.0,5.0,1.0,0.001,1.0,4.0,276.3739072494209
416,209,INTERMEDIATE,1,18.0,38.0,7.0,8.0,9.0,6.0,1.0,0.001,0.0,6.0,210.1846459824592
417,209,COMPLETED,1,18.0,38.0,7.0,8.0,9.0,6.0,1.0,0.001,0.0,6.0,210.1846459824592
418,210,INTERMEDIATE,1,35.0,33.0,3.0,18.0,13.0,7.0,1.0,0.001,0.0,2.0,250.7845578417182
419,210,COMPLETED,1,35.0,33.0,3.0,18.0,13.0,7.0,1.0,0.001,0.0,2.0,250.7845578417182
420,211,INTERMEDIATE,1,16.0,28.0,19.0,3.0,7.0,10.0,1.0,0.001,1.0,5.0,221.04343581199646
421,211,COMPLETED,1,16.0,28.0,19.0,3.0,7.0,10.0,1.0,0.001,1.0,5.0,221.04343581199646
422,212,INTERMEDIATE,1,13.0,29.0,19.0,10.0,10.0,14.0,0.0,0.001,1.0,2.0,225.3601101487875
423,212,COMPLETED,1,13.0,29.0,19.0,10.0,10.0,14.0,0.0,0.001,1.0,2.0,225.3601101487875
424,213,INTERMEDIATE,1,40.0,33.0,5.0,18.0,15.0,7.0,0.0,0.001,1.0,4.0,229.7937911450863
425,213,COMPLETED,1,40.0,33.0,5.0,18.0,15.0,7.0,0.0,0.001,1.0,4.0,229.7937911450863
426,214,INTERMEDIATE,1,36.0,40.0,5.0,15.0,16.0,6.0,1.0,0.001,0.0,3.0,318.55698699504137
427,214,COMPLETED,1,36.0,40.0,5.0,15.0,16.0,6.0,1.0,0.001,0.0,3.0,318.55698699504137
428,215,INTERMEDIATE,1,14.0,32.0,9.0,8.0,9.0,14.0,1.0,0.001,1.0,10.0,266.23034220188856
429,215,COMPLETED,1,14.0,32.0,9.0,8.0,9.0,14.0,1.0,0.001,1.0,10.0,266.23034220188856
430,216,INTERMEDIATE,1,50.0,30.0,3.0,12.0,15.0,19.0,0.0,0.001,1.0,9.0,212.67037551105022
431,216,COMPLETED,1,50.0,30.0,3.0,12.0,15.0,19.0,0.0,0.001,1.0,9.0,212.67037551105022
432,217,INTERMEDIATE,1,47.0,15.0,8.0,11.0,8.0,3.0,1.0,0.001,1.0,3.0,227.27018148452044
433,217,COMPLETED,1,47.0,15.0,8.0,11.0,8.0,3.0,1.0,0.001,1.0,3.0,227.27018148452044
434,218,INTERMEDIATE,1,39.0,22.0,9.0,17.0,10.0,8.0,0.0,0.001,1.0,6.0,338.4082122296095
435,218,COMPLETED,1,39.0,22.0,9.0,17.0,10.0,8.0,0.0,0.001,1.0,6.0,338.4082122296095
436,219,INTERMEDIATE,1,15.0,21.0,14.0,9.0,11.0,7.0,0.0,0.001,0.0,9.0,203.65926003456116
437,219,COMPLETED,1,15.0,21.0,14.0,9.0,11.0,7.0,0.0,0.001,0.0,9.0,203.65926003456116
438,220,INTERMEDIATE,1,34.0,49.0,15.0,17.0,6.0,6.0,0.0,0.001,0.0,1.0,277.7565377354622
439,220,COMPLETED,1,34.0,49.0,15.0,17.0,6.0,6.0,0.0,0.001,0.0,1.0,277.7565377354622
440,221,INTERMEDIATE,1,14.0,28.0,19.0,7.0,5.0,15.0,1.0,0.001,1.0,1.0,213.80661866813898
441,221,COMPLETED,1,14.0,28.0,19.0,7.0,5.0,15.0,1.0,0.001,1.0,1.0,213.80661866813898
442,222,INTERMEDIATE,1,18.0,37.0,10.0,13.0,6.0,7.0,0.0,0.001,0.0,4.0,175.53830835968256
443,222,COMPLETED,1,18.0,37.0,10.0,13.0,6.0,7.0,0.0,0.001,0.0,4.0,175.53830835968256
444,223,INTERMEDIATE,1,42.0,45.0,5.0,18.0,5.0,16.0,0.0,0.001,0.0,6.0,308.8936733007431
445,223,COMPLETED,1,42.0,45.0,5.0,18.0,5.0,16.0,0.0,0.001,0.0,6.0,308.8936733007431
446,224,INTERMEDIATE,1,11.0,46.0,14.0,17.0,4.0,17.0,1.0,0.001,1.0,7.0,200.61347237974405
447,224,COMPLETED,1,11.0,46.0,14.0,17.0,4.0,17.0,1.0,0.001,1.0,7.0,200.61347237974405
448,225,INTERMEDIATE,1,41.0,42.0,10.0,19.0,19.0,4.0,1.0,0.001,0.0,5.0,200.22897974401712
449,225,COMPLETED,1,41.0,42.0,10.0,19.0,19.0,4.0,1.0,0.001,0.0,5.0,200.22897974401712
