,Trial-ID,Status,Iteration,batch_size,filtro1,filtro2,kernel1,kernel2,kernel3,kernel4,lr,neuroni1,neuroni2,stride1,stride2,stride3,stride4,Objective
167,84,COMPLETED,1,256.0,45.0,37.0,1.0,1.0,1.0,1.0,0.015303019010013677,90.0,63.0,1.0,1.0,1.0,1.0,0.03286098074168002
168,85,INTERMEDIATE,1,512.0,36.0,21.0,1.0,1.0,1.0,1.0,0.0045490725287091255,56.0,51.0,1.0,1.0,1.0,1.0,1.482950324620251e-05
169,85,COMPLETED,1,512.0,36.0,21.0,1.0,1.0,1.0,1.0,0.0045490725287091255,56.0,51.0,1.0,1.0,1.0,1.0,1.482950324620251e-05
170,86,INTERMEDIATE,1,256.0,50.0,34.0,1.0,1.0,1.0,1.0,5e-05,69.0,40.0,1.0,1.0,1.0,1.0,6.849695880293194e-06
171,86,COMPLETED,1,256.0,50.0,34.0,1.0,1.0,1.0,1.0,5e-05,69.0,40.0,1.0,1.0,1.0,1.0,6.849695880293194e-06
172,87,INTERMEDIATE,1,256.0,41.0,17.0,1.0,1.0,1.0,1.0,0.014066215448586022,66.0,45.0,1.0,1.0,1.0,1.0,5.706726380979656e-05
173,87,COMPLETED,1,256.0,41.0,17.0,1.0,1.0,1.0,1.0,0.014066215448586022,66.0,45.0,1.0,1.0,1.0,1.0,5.706726380979656e-05
174,88,INTERMEDIATE,1,256.0,48.0,36.0,1.0,1.0,1.0,1.0,5e-05,94.0,71.0,1.0,1.0,1.0,1.0,6.940389047919498e-06
175,88,COMPLETED,1,256.0,48.0,36.0,1.0,1.0,1.0,1.0,5e-05,94.0,71.0,1.0,1.0,1.0,1.0,6.940389047919498e-06
176,89,INTERMEDIATE,1,512.0,42.0,19.0,1.0,1.0,1.0,1.0,0.040214316722150374,70.0,45.0,1.0,1.0,1.0,1.0,0.032908535951109076
177,89,COMPLETED,1,512.0,42.0,19.0,1.0,1.0,1.0,1.0,0.040214316722150374,70.0,45.0,1.0,1.0,1.0,1.0,0.032908535951109076
178,90,INTERMEDIATE,1,256.0,39.0,18.0,1.0,1.0,1.0,1.0,5e-05,65.0,48.0,1.0,1.0,1.0,1.0,9.424973042865866e-06
179,90,COMPLETED,1,256.0,39.0,18.0,1.0,1.0,1.0,1.0,5e-05,65.0,48.0,1.0,1.0,1.0,1.0,9.424973042865866e-06
180,91,INTERMEDIATE,1,256.0,43.0,18.0,1.0,1.0,1.0,1.0,5e-05,63.0,46.0,1.0,1.0,1.0,1.0,7.926634016013152e-06
181,91,COMPLETED,1,256.0,43.0,18.0,1.0,1.0,1.0,1.0,5e-05,63.0,46.0,1.0,1.0,1.0,1.0,7.926634016013152e-06
182,92,INTERMEDIATE,1,256.0,40.0,21.0,1.0,1.0,1.0,1.0,5e-05,63.0,46.0,1.0,1.0,1.0,1.0,8.007033957567994e-06
183,92,COMPLETED,1,256.0,40.0,21.0,1.0,1.0,1.0,1.0,5e-05,63.0,46.0,1.0,1.0,1.0,1.0,8.007033957567994e-06
184,93,INTERMEDIATE,1,256.0,49.0,17.0,1.0,1.0,1.0,1.0,5e-05,67.0,45.0,1.0,1.0,1.0,1.0,7.510592487478093e-06
185,93,COMPLETED,1,256.0,49.0,17.0,1.0,1.0,1.0,1.0,5e-05,67.0,45.0,1.0,1.0,1.0,1.0,7.510592487478093e-06
186,94,INTERMEDIATE,1,512.0,38.0,20.0,2.0,2.0,1.0,2.0,0.02084138417843732,54.0,48.0,1.0,1.0,1.0,2.0,0.03284692481896548
187,94,COMPLETED,1,512.0,38.0,20.0,2.0,2.0,1.0,2.0,0.02084138417843732,54.0,48.0,1.0,1.0,1.0,2.0,0.03284692481896548
188,95,INTERMEDIATE,1,2048.0,37.0,23.0,1.0,1.0,1.0,1.0,0.008701866006283086,58.0,50.0,1.0,1.0,1.0,1.0,7.132817947323252e-06
189,95,COMPLETED,1,2048.0,37.0,23.0,1.0,1.0,1.0,1.0,0.008701866006283086,58.0,50.0,1.0,1.0,1.0,1.0,7.132817947323252e-06
190,96,INTERMEDIATE,1,2048.0,33.0,22.0,1.0,1.0,1.0,1.0,0.012562124032741446,54.0,51.0,1.0,1.0,1.0,1.0,3.304889233697134e-05
191,96,COMPLETED,1,2048.0,33.0,22.0,1.0,1.0,1.0,1.0,0.012562124032741446,54.0,51.0,1.0,1.0,1.0,1.0,3.304889233697134e-05
192,97,INTERMEDIATE,1,2048.0,36.0,21.0,1.0,1.0,1.0,1.0,0.011368977685189895,49.0,51.0,1.0,1.0,1.0,1.0,2.842443184640359e-05
193,97,COMPLETED,1,2048.0,36.0,21.0,1.0,1.0,1.0,1.0,0.011368977685189895,49.0,51.0,1.0,1.0,1.0,1.0,2.842443184640359e-05
194,98,INTERMEDIATE,1,2048.0,32.0,19.0,1.0,1.0,1.0,1.0,0.01255240369116799,51.0,49.0,1.0,1.0,1.0,1.0,9.583607915712803e-06
195,98,COMPLETED,1,2048.0,32.0,19.0,1.0,1.0,1.0,1.0,0.01255240369116799,51.0,49.0,1.0,1.0,1.0,1.0,9.583607915712803e-06
196,99,INTERMEDIATE,1,512.0,37.0,19.0,1.0,1.0,1.0,1.0,5e-05,66.0,48.0,1.0,1.0,1.0,1.0,1.3038324327086725e-05
197,99,COMPLETED,1,512.0,37.0,19.0,1.0,1.0,1.0,1.0,5e-05,66.0,48.0,1.0,1.0,1.0,1.0,1.3038324327086725e-05
198,100,INTERMEDIATE,1,256.0,48.0,24.0,1.0,1.0,1.0,1.0,5e-05,69.0,44.0,1.0,1.0,1.0,1.0,8.19022922914725e-06
199,100,COMPLETED,1,256.0,48.0,24.0,1.0,1.0,1.0,1.0,5e-05,69.0,44.0,1.0,1.0,1.0,1.0,8.19022922914725e-06
